#curie_map:
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  ORCID: "https://orcid.org/"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/fbbt/fbbt-mappings.sssom.tsv"
#mapping_set_description: "Mappings between the Drosophila Anatomy Ontology and foreign ontologies."
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "https://creativecommons.org/licenses/by/4.0/"
#subject_source: "obo:fbbt.owl"
#object_source: "obo:cl-edit.owl"
#mapping_date: "2024-07-12"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
FBbt:00000092	primordial germ cell	semapv:crossSpeciesExactMatch	CL:0000301	pole cell	semapv:ManualMappingCuration
FBbt:00000124	epithelial cell	semapv:crossSpeciesExactMatch	CL:0000066	epithelial cell	semapv:ManualMappingCuration
FBbt:00001666	cardioblast	semapv:crossSpeciesExactMatch	CL:0000465	cardioblast (sensu Arthropoda)	semapv:ManualMappingCuration
FBbt:00001685	embryonic/larval plasmatocyte	semapv:crossSpeciesExactMatch	CL:0000394	plasmatocyte	semapv:ManualMappingCuration
FBbt:00001687	lamellocyte	semapv:crossSpeciesExactMatch	CL:0000396	lamellocyte	semapv:ManualMappingCuration
FBbt:00001689	procrystal cell	semapv:crossSpeciesExactMatch	CL:0000395	procrystal cell	semapv:ManualMappingCuration
FBbt:00001690	embryonic/larval crystal cell	semapv:crossSpeciesExactMatch	CL:0000715	embryonic crystal cell	semapv:ManualMappingCuration
FBbt:00001789	histoblast	semapv:crossSpeciesExactMatch	CL:0000373	histoblast	semapv:ManualMappingCuration
FBbt:00003219	adepithelial cell	semapv:crossSpeciesExactMatch	CL:0000462	adepithelial cell	semapv:ManualMappingCuration
FBbt:00003360	flight muscle cell	semapv:crossSpeciesExactMatch	CL:0000196	insect flight muscle cell	semapv:ManualMappingCuration
FBbt:00003686	Kenyon cell	semapv:crossSpeciesExactMatch	CL:0000673	Kenyon cell	semapv:ManualMappingCuration
FBbt:00004101	peptidergic neuron	semapv:crossSpeciesExactMatch	CL:0000110	peptidergic neuron	semapv:ManualMappingCuration
FBbt:00004193	cone cell	semapv:crossSpeciesExactMatch	CL:0000718	compound eye cone cell	semapv:ManualMappingCuration
FBbt:00004211	photoreceptor cell	semapv:crossSpeciesExactMatch	CL:0000210	photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004213	photoreceptor cell R1	semapv:crossSpeciesExactMatch	CL:0000687	R1 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004215	photoreceptor cell R2	semapv:crossSpeciesExactMatch	CL:0000690	R2 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004217	photoreceptor cell R3	semapv:crossSpeciesExactMatch	CL:0000694	R3 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004219	photoreceptor cell R4	semapv:crossSpeciesExactMatch	CL:0000697	R4 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004221	photoreceptor cell R5	semapv:crossSpeciesExactMatch	CL:0000702	R5 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004223	photoreceptor cell R6	semapv:crossSpeciesExactMatch	CL:0000705	R6 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004225	photoreceptor cell R7	semapv:crossSpeciesExactMatch	CL:0000707	R7 photoreceptor cell	semapv:ManualMappingCuration
FBbt:00004227	photoreceptor cell R8	semapv:crossSpeciesExactMatch	CL:0000709	R8 photoreceptor cell	semapv:ManualMappingCuration
