ID	OBO Namespace	Label	Exact Synonym	Exact Synonym with Reference	Synonym Reference	Broad Synonym	Synonym Reference	Related Synonym	Synonym Reference	Database Cross Reference	Definition	Definition Source	Comment	OBO Creator	OBO Creation Date	DC Creator	DC Creation Date	Class Type	Parent	In Taxon	Asserted Parent	Disjoint With	Capable Of	Has Plasma Membrane Part	Lacks Plasma Membrane Part	High Amount	Low Amount	Develops From	Other Axioms
ID	A has_obo_namespace	LABEL	A has_exact_synonym SPLIT=|	A has_exact_synonym SPLIT=|	>A database_cross_reference	A has_broad_synonym SPLIT=|	>A database_cross_reference	A has_related_synonym	>A database_cross_reference	A database_cross_reference SPLIT=|	A definition	>A database_cross_reference SPLIT=|	A rdfs:comment	A created_by	A creation_date	AI dc:creator	A dc:date	CLASS_TYPE	C % SPLIT=|	C 'in taxon' some %	SC % SPLIT=|	DC % SPLIT=|	C 'capable of' some % SPLIT=|	C 'has plasma membrane part' some % SPLIT=|	C lacks_plasma_membrane_part some % SPLIT=|	C has_high_plasma_membrane_amount some % SPLIT=|	C has_low_plasma_membrane_amount some % SPLIT=|	SC 'develops from' some %	C % SPLIT=|
																			is-required true; subclass-of 'cell'										
CL:0001083		cell, human																equivalent	cell	Homo sapiens									
CL:0001084		lymphocyte, human																equivalent	lymphocyte	Homo sapiens									
CL:0000938	cell	CD16-negative, CD56-bright natural killer cell, human	CD16-negative, CD56-bright NK cell|CD56-bright cytokine secreting natural killer cell|CD56-bright cytokine secreting NK cell	CD16-CD56bright NK cell	PMID:22343568						NK cell that has the phenotype CD56-bright, CD16-negative, and CD84-positive with the function to secrete interferon-gamma but is not cytotoxic.	GOC:add|GOC:pam|GOC:tfm|GO_REF:0000031|PMID:19796267|PMID:22343568	This cell type is compatible with the HIPC Lyoplate markers for 'CD16-CD56bright NK cell'. Markers are associated with human cell types.					equivalent	mature natural killer cell	Homo sapiens			interferon-gamma production	SLAM family member 5	low affinity immunoglobulin gamma Fc region receptor III|MHC class II histocompatibility antigen alpha chain DRA	neural cell adhesion molecule 1			
CL:0000939	cell	CD16-positive, CD56-dim natural killer cell, human	CD16-positive, CD56-dim NK cell|CD16-positive, CD56-low natural killer cell|CD16-positive, CD56-low NK cell|CD16-positive, CD56-positive natural killer cell|CD16-positive, CD56-positive NK cell|cytotoxic CD56-dim natural killer cell|cytotoxic CD56-dim NK cell	CD16+CD56+ NK cell	PMID:22343568						A mature natural killer cell that has the phenotype CD56-low, CD16-positive and which is capable of cytotoxicity and cytokine production.	GOC:add|GOC:pam|GO_REF:0000031|PMID:19796267|PMID:22343568	This cell type is compatible with the HIPC Lyoplate markers for 'CD16+CD56+ NK cell'. Markers are associated with human cell types.					equivalent	mature natural killer cell	Homo sapiens			cytokine production|natural killer cell mediated cytotoxicity	low affinity immunoglobulin gamma Fc region receptor III	MHC class II histocompatibility antigen alpha chain DRA		neural cell adhesion molecule 1		
CL:0002344	cell	CD56-negative, CD161-positive immature natural killer cell, human						p-NK	PMID:12457618		A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD56-negative, CD117-positive, CD122-positive,and CD161-positive.	GOC:add|GO_REF:0000031|ISBN:0781735149|PMID:12457618	Human markers; killer cell immunoglobulin-like receptor 2DL1 is used as a representative example (PRO at this time lacks a KIR superfamily).	tmeehan	2010-09-20T04:33:11Z			equivalent	immature natural killer cell	Homo sapiens				interleukin-2 receptor subunit beta|KLRB1-like protein|mast/stem cell growth factor receptor	CD34 molecule|neural cell adhesion molecule 1				
CL:0002338	cell	CD56-positive, CD161-positive immature natural killer cell, human						p-NK	PMID:12457618		A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD56-negative, CD117-positive, CD122-positive,and CD161-positive.	GOC:add|GO_REF:0000031|ISBN:0781735149|PMID:12457618	Human markers; killer cell immunoglobulin-like receptor 2DL1 is used as a representative example (PRO at this time lacks a KIR superfamily).	tmeehan	2010-09-21T10:06:53Z			equivalent	immature natural killer cell	Homo sapiens				neural cell adhesion molecule 1|interleukin-2 receptor subunit beta|KLRB1-like protein|mast/stem cell growth factor receptor	CD34 molecule			CD56-negative, CD161-positive immature natural killer cell, human	
CL:0002343	cell	decidual natural killer cell, human	decidual NK cell|dNK cell								A natural killer cell subset that is found in the decidual of the uterus and is CD56-high, Galectin-1-positive and CD16-negative. This cell type represents the most abundant immune cell type in the decidual during the first trimester of pregnancy.	PMID:14568979|PMID:19800965		tmeehan	2010-09-20T04:00:02Z			equivalent	mature natural killer cell	Homo sapiens				galectin-1	low affinity immunoglobulin gamma Fc region receptor III	neural cell adhesion molecule 1			
																													
CL:0001072		CD34-negative, CD117-positive innate lymphoid cell, human	CD34-negative, CD117-positive ILC|CD34-negative, CD117-positive ILCP|CD34-negative, CD117-positive innate lymphoid cell precusor								An innate lymphoid cell in the human with the phenotype CD34-negative, CD117-positive, and a precusor to NK cells, ILC2 cells, and ILC3 cells.	GOC:add|PMID:31201208|PMID:30193847						equivalent	innate lymphoid cell	Homo sapiens				mast/stem cell growth factor receptor Kit (human)	hematopoietic progenitor cell antigen CD34 (human)			CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	('bearer of' some immature)
