ID,subset,label
ID,AI oboInOwl:inSubset,
CL:0000540,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,neuron
CL:0000125,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,glial cell
CL:0000066,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,epithelial cell
CL:0000152,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,exocrine cell
CL:0000057,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,fibroblast
CL:0000235,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,macrophage
CL:0000084,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,T cell
CL:0000236,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,B cell
CL:0000623,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,natural killer cell
CL:0000451,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,dendritic cell
CL:0000192,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,smooth muscle cell
CL:0000746,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,cardiac muscle cell
CL:0000188,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,cardiac muscle cell
CL:0000163,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,endocrine cell
CL:0000148,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,melanocyte
CL:0009004,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,retinal cell
CL:0000349,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,extraembryonic cell
CL:0000081,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,blood cell
CL:0000576,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,monocyte
CL:0000039,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,germ line cell
CL:0000136,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,fat cell
CL:0000499,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,stromal cell
CL:0001035,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,bone cell
CL:0000034,http://purl.obolibrary.org/obo/cl#general_cell_types_upper_slim,stem cell
