#curie_map:
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#mapping_provider: "http://purl.obolibrary.org/obo/FBbt.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00000001	organism	semapv:crossSpeciesExactMatch	UBERON:0000468	semapv:ManualMappingCuration
FBbt:00000002	tagma	semapv:crossSpeciesExactMatch	UBERON:6000002	semapv:ManualMappingCuration
FBbt:00000003	segment	semapv:crossSpeciesExactMatch	UBERON:0000914	semapv:ManualMappingCuration
FBbt:00000004	head	semapv:crossSpeciesExactMatch	UBERON:0000033	semapv:ManualMappingCuration
FBbt:00000004	head	semapv:crossSpeciesExactMatch	UBERON:6000004	semapv:ManualMappingCuration
FBbt:00000005	ocular segment	semapv:crossSpeciesExactMatch	UBERON:6000005	semapv:ManualMappingCuration
FBbt:00000006	head segment	semapv:crossSpeciesExactMatch	UBERON:6000006	semapv:ManualMappingCuration
FBbt:00000007	procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6000007	semapv:ManualMappingCuration
FBbt:00000008	labral segment	semapv:crossSpeciesExactMatch	UBERON:6000008	semapv:ManualMappingCuration
FBbt:00000009	antennal segment	semapv:crossSpeciesExactMatch	UBERON:6000009	semapv:ManualMappingCuration
FBbt:00000011	gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6000011	semapv:ManualMappingCuration
FBbt:00000014	labial segment	semapv:crossSpeciesExactMatch	UBERON:6000014	semapv:ManualMappingCuration
FBbt:00000015	thorax	semapv:crossSpeciesExactMatch	UBERON:6000015	semapv:ManualMappingCuration
FBbt:00000016	thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000016	semapv:ManualMappingCuration
FBbt:00000017	prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000017	semapv:ManualMappingCuration
FBbt:00000018	mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000018	semapv:ManualMappingCuration
FBbt:00000019	metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000019	semapv:ManualMappingCuration
FBbt:00000020	abdomen	semapv:crossSpeciesExactMatch	UBERON:6000020	semapv:ManualMappingCuration
FBbt:00000021	abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6000021	semapv:ManualMappingCuration
FBbt:00000029	abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6000029	semapv:ManualMappingCuration
FBbt:00000030	abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6000030	semapv:ManualMappingCuration
FBbt:00000038	chorion	semapv:crossSpeciesExactMatch	UBERON:0000920	semapv:ManualMappingCuration
FBbt:00000042	vitelline membrane	semapv:crossSpeciesExactMatch	UBERON:0003125	semapv:ManualMappingCuration
FBbt:00000046	dorsal appendage	semapv:crossSpeciesExactMatch	UBERON:6000046	semapv:ManualMappingCuration
FBbt:00000052	embryo	semapv:crossSpeciesExactMatch	UBERON:0000922	semapv:ManualMappingCuration
FBbt:00000092	primordial germ cell	semapv:crossSpeciesExactMatch	CL:0000301	semapv:ManualMappingCuration
FBbt:00000093	ventral midline of embryo	semapv:crossSpeciesExactMatch	UBERON:0009571	semapv:ManualMappingCuration
FBbt:00000095	amnioserosa	semapv:crossSpeciesExactMatch	UBERON:0010302	semapv:ManualMappingCuration
FBbt:00000096	ventral furrow	semapv:crossSpeciesExactMatch	UBERON:6000096	semapv:ManualMappingCuration
FBbt:00000097	cephalic furrow	semapv:crossSpeciesExactMatch	UBERON:6000097	semapv:ManualMappingCuration
FBbt:00000104	mesoderm anlage	semapv:crossSpeciesExactMatch	UBERON:6000104	semapv:ManualMappingCuration
FBbt:00000110	germ layer	semapv:crossSpeciesExactMatch	UBERON:0000923	semapv:ManualMappingCuration
FBbt:00000111	ectoderm	semapv:crossSpeciesExactMatch	UBERON:0000924	semapv:ManualMappingCuration
FBbt:00000112	dorsal ectoderm	semapv:crossSpeciesExactMatch	UBERON:6000112	semapv:ManualMappingCuration
FBbt:00000119	anterior ectoderm	semapv:crossSpeciesExactMatch	UBERON:6000119	semapv:ManualMappingCuration
FBbt:00000123	amnioproctodeal invagination	semapv:crossSpeciesExactMatch	UBERON:0000931	semapv:ManualMappingCuration
FBbt:00000124	epithelial cell	semapv:crossSpeciesExactMatch	CL:0000066	semapv:ManualMappingCuration
FBbt:00000125	endoderm	semapv:crossSpeciesExactMatch	UBERON:0000925	semapv:ManualMappingCuration
FBbt:00000126	mesoderm	semapv:crossSpeciesExactMatch	UBERON:0000926	semapv:ManualMappingCuration
FBbt:00000128	trunk mesoderm	semapv:crossSpeciesExactMatch	UBERON:6000128	semapv:ManualMappingCuration
FBbt:00000130	visceral mesoderm	semapv:crossSpeciesExactMatch	UBERON:6000130	semapv:ManualMappingCuration
FBbt:00000136	mesectoderm	semapv:crossSpeciesExactMatch	UBERON:0000927	semapv:ManualMappingCuration
FBbt:00000137	embryonic tagma	semapv:crossSpeciesExactMatch	UBERON:6000137	semapv:ManualMappingCuration
FBbt:00000154	embryonic segment	semapv:crossSpeciesExactMatch	UBERON:6000154	semapv:ManualMappingCuration
FBbt:00000155	embryonic head	semapv:crossSpeciesExactMatch	UBERON:0008816	semapv:ManualMappingCuration
FBbt:00000157	embryonic head segment	semapv:crossSpeciesExactMatch	UBERON:6000157	semapv:ManualMappingCuration
FBbt:00000158	embryonic procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6000158	semapv:ManualMappingCuration
FBbt:00000160	embryonic antennal segment	semapv:crossSpeciesExactMatch	UBERON:6000160	semapv:ManualMappingCuration
FBbt:00000162	embryonic gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6000162	semapv:ManualMappingCuration
FBbt:00000165	embryonic labial segment	semapv:crossSpeciesExactMatch	UBERON:6000165	semapv:ManualMappingCuration
FBbt:00000166	embryonic thorax	semapv:crossSpeciesExactMatch	UBERON:6000166	semapv:ManualMappingCuration
FBbt:00000167	embryonic thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000167	semapv:ManualMappingCuration
FBbt:00000168	embryonic prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000168	semapv:ManualMappingCuration
FBbt:00000169	embryonic mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000169	semapv:ManualMappingCuration
FBbt:00000170	embryonic metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000170	semapv:ManualMappingCuration
FBbt:00000171	embryonic abdomen	semapv:crossSpeciesExactMatch	UBERON:6000171	semapv:ManualMappingCuration
FBbt:00000172	embryonic abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6000172	semapv:ManualMappingCuration
FBbt:00000180	embryonic abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6000180	semapv:ManualMappingCuration
FBbt:00000181	embryonic abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6000181	semapv:ManualMappingCuration
FBbt:00000186	embryonic optic lobe primordium	semapv:crossSpeciesExactMatch	UBERON:6000186	semapv:ManualMappingCuration
FBbt:00000439	stomodeum	semapv:crossSpeciesExactMatch	UBERON:0000930	semapv:ManualMappingCuration
FBbt:00001055	presumptive embryonic/larval nervous system	semapv:crossSpeciesExactMatch	UBERON:6001055	semapv:ManualMappingCuration
FBbt:00001056	presumptive embryonic/larval central nervous system	semapv:crossSpeciesExactMatch	UBERON:6001056	semapv:ManualMappingCuration
FBbt:00001057	neurogenic region	semapv:crossSpeciesExactMatch	UBERON:0002346	semapv:ManualMappingCuration
FBbt:00001059	visual primordium	semapv:crossSpeciesExactMatch	UBERON:6001059	semapv:ManualMappingCuration
